TimeStamp,Texto,Usuario,Likes,Retweets
2022-07-28 15:40:48+00:00,RT @ellegourmetjp: #MCOUNTDOWN で #With_Us 韓国語ver. を披露👏 カムバした新ビジュも話題の #JO1 の #木全翔也 さんの連載「#本音で木全寿司」は読んだ？ 韓国滞在中もおいしいお寿司が食べられていますように🍣  ▼記事はこちら…,jo1_mnm,0,1474
2022-07-28 15:40:47+00:00,前に好きだった人に「首にホクロ2つもあんの？えっろ」って言われたことあるの思い出して死にたい,_sushi__oO,0,0
2022-07-28 15:40:45+00:00,RT @mxacc0: little miss sushi lover,heyitshayley__,0,2524
2022-07-28 15:40:42+00:00,"è partita music for a sushi restaurant dalla parrucchiera, harry mi devi mollare un attimo perché se no scoppio a piangere in tutti i posti in cui vado",cwtchvlou,0,0
2022-07-28 15:40:33+00:00,@foooooooo3971 はまちのお墨付き,oishi_o_sushi,0,0
2022-07-28 15:40:31+00:00,ねばしり~！！ゆきくん！,mk_SUSHI_,0,0
2022-07-28 15:40:29+00:00,@re_sushi_abyss おめでとう(*´ω`*ﾉﾉ☆ﾊﾟﾁﾊﾟﾁ,19akr79,0,0
2022-07-28 15:40:27+00:00,RT @mxacc0: little miss sushi lover,kaymcgrail,0,2524
2022-07-28 15:40:27+00:00,"RT @javafoodie_: Warung Sushi Kaki Lima di lesehan GSP!!  Mulai dr nigiri,gunkan,makimono sm specialty roll ada di sini! Kmren datang jm 6…",iaatul,0,176
2022-07-28 15:40:23+00:00,答えられなかったけど個人的に刺さった問題  ORANGE RANGE - SUSHI食べたい feat.ソイソース https://t.co/VViARHFh87 @YouTubeより,haru_quiz,0,0
2022-07-28 15:40:23+00:00,"Notable Open interest variation spotted on : $SUSHI  OI increased by 5.57% these last 5 minutes!   More than 2,167,790$ added.⬆️",OIAlertBot,0,0
2022-07-28 15:40:20+00:00,RT @i_dol_ism: ミニライブ&amp;特典会🎤✨  日付：8月11日(木) 場所：大宮アルシェ1階イベントスペース 出演：One-X/AVEST/Mikazuki/ROLESWAN/NeverSirius  観覧無料です‼️ ご来場お待ちしてます☀️  ※詳細は画像をご覧く…,mk_SUSHI_,0,11
2022-07-28 15:40:15+00:00,RT @mxacc0: little miss sushi lover,kaaaaarla0,0,2524
2022-07-28 15:40:13+00:00,@kudoyura ゆらちゃんぽい♡ ちなみに 僕の推しはゆらちゃんだけどね🫶,bigcutlet_sushi,0,0
2022-07-28 15:40:11+00:00,"Começar a gostar de sushi foi um dos meus maiores erros, to aqui pedindo 20 reais de sushi, pra quem não sabe, sou pirangueira nível hard e o sushi ta conseguindo vencer minha pirangueragem",xrmadu,1,0
2022-07-28 15:40:48+00:00,RT @ellegourmetjp: #MCOUNTDOWN で #With_Us 韓国語ver. を披露👏 カムバした新ビジュも話題の #JO1 の #木全翔也 さんの連載「#本音で木全寿司」は読んだ？ 韓国滞在中もおいしいお寿司が食べられていますように🍣  ▼記事はこちら…,jo1_mnm,0,1474
2022-07-28 15:40:47+00:00,前に好きだった人に「首にホクロ2つもあんの？えっろ」って言われたことあるの思い出して死にたい,_sushi__oO,0,0
2022-07-28 15:40:45+00:00,RT @mxacc0: little miss sushi lover,heyitshayley__,0,2524
2022-07-28 15:40:42+00:00,"è partita music for a sushi restaurant dalla parrucchiera, harry mi devi mollare un attimo perché se no scoppio a piangere in tutti i posti in cui vado",cwtchvlou,0,0
2022-07-28 15:40:33+00:00,@foooooooo3971 はまちのお墨付き,oishi_o_sushi,0,0
2022-07-28 15:40:31+00:00,ねばしり~！！ゆきくん！,mk_SUSHI_,0,0
2022-07-28 15:40:29+00:00,@re_sushi_abyss おめでとう(*´ω`*ﾉﾉ☆ﾊﾟﾁﾊﾟﾁ,19akr79,0,0
2022-07-28 15:40:27+00:00,RT @mxacc0: little miss sushi lover,kaymcgrail,0,2524
2022-07-28 15:40:27+00:00,"RT @javafoodie_: Warung Sushi Kaki Lima di lesehan GSP!!  Mulai dr nigiri,gunkan,makimono sm specialty roll ada di sini! Kmren datang jm 6…",iaatul,0,176
2022-07-28 15:40:23+00:00,答えられなかったけど個人的に刺さった問題  ORANGE RANGE - SUSHI食べたい feat.ソイソース https://t.co/VViARHFh87 @YouTubeより,haru_quiz,0,0
2022-07-28 15:40:23+00:00,"Notable Open interest variation spotted on : $SUSHI  OI increased by 5.57% these last 5 minutes!   More than 2,167,790$ added.⬆️",OIAlertBot,0,0
2022-07-28 15:40:20+00:00,RT @i_dol_ism: ミニライブ&amp;特典会🎤✨  日付：8月11日(木) 場所：大宮アルシェ1階イベントスペース 出演：One-X/AVEST/Mikazuki/ROLESWAN/NeverSirius  観覧無料です‼️ ご来場お待ちしてます☀️  ※詳細は画像をご覧く…,mk_SUSHI_,0,11
2022-07-28 15:40:15+00:00,RT @mxacc0: little miss sushi lover,kaaaaarla0,0,2524
2022-07-28 15:40:13+00:00,@kudoyura ゆらちゃんぽい♡ ちなみに 僕の推しはゆらちゃんだけどね🫶,bigcutlet_sushi,0,0
2022-07-28 15:40:11+00:00,"Começar a gostar de sushi foi um dos meus maiores erros, to aqui pedindo 20 reais de sushi, pra quem não sabe, sou pirangueira nível hard e o sushi ta conseguindo vencer minha pirangueragem",xrmadu,1,0
2022-07-28 15:40:48+00:00,RT @ellegourmetjp: #MCOUNTDOWN で #With_Us 韓国語ver. を披露👏 カムバした新ビジュも話題の #JO1 の #木全翔也 さんの連載「#本音で木全寿司」は読んだ？ 韓国滞在中もおいしいお寿司が食べられていますように🍣  ▼記事はこちら…,jo1_mnm,0,1474
2022-07-28 15:40:47+00:00,前に好きだった人に「首にホクロ2つもあんの？えっろ」って言われたことあるの思い出して死にたい,_sushi__oO,0,0
2022-07-28 15:40:45+00:00,RT @mxacc0: little miss sushi lover,heyitshayley__,0,2524
2022-07-28 15:40:42+00:00,"è partita music for a sushi restaurant dalla parrucchiera, harry mi devi mollare un attimo perché se no scoppio a piangere in tutti i posti in cui vado",cwtchvlou,0,0
2022-07-28 15:40:33+00:00,@foooooooo3971 はまちのお墨付き,oishi_o_sushi,0,0
2022-07-28 15:40:31+00:00,ねばしり~！！ゆきくん！,mk_SUSHI_,0,0
2022-07-28 15:40:29+00:00,@re_sushi_abyss おめでとう(*´ω`*ﾉﾉ☆ﾊﾟﾁﾊﾟﾁ,19akr79,0,0
2022-07-28 15:40:27+00:00,RT @mxacc0: little miss sushi lover,kaymcgrail,0,2524
2022-07-28 15:40:27+00:00,"RT @javafoodie_: Warung Sushi Kaki Lima di lesehan GSP!!  Mulai dr nigiri,gunkan,makimono sm specialty roll ada di sini! Kmren datang jm 6…",iaatul,0,176
2022-07-28 15:40:23+00:00,答えられなかったけど個人的に刺さった問題  ORANGE RANGE - SUSHI食べたい feat.ソイソース https://t.co/VViARHFh87 @YouTubeより,haru_quiz,0,0
2022-07-28 15:40:23+00:00,"Notable Open interest variation spotted on : $SUSHI  OI increased by 5.57% these last 5 minutes!   More than 2,167,790$ added.⬆️",OIAlertBot,0,0
2022-07-28 15:40:20+00:00,RT @i_dol_ism: ミニライブ&amp;特典会🎤✨  日付：8月11日(木) 場所：大宮アルシェ1階イベントスペース 出演：One-X/AVEST/Mikazuki/ROLESWAN/NeverSirius  観覧無料です‼️ ご来場お待ちしてます☀️  ※詳細は画像をご覧く…,mk_SUSHI_,0,11
2022-07-28 15:40:15+00:00,RT @mxacc0: little miss sushi lover,kaaaaarla0,0,2524
2022-07-28 15:40:13+00:00,@kudoyura ゆらちゃんぽい♡ ちなみに 僕の推しはゆらちゃんだけどね🫶,bigcutlet_sushi,0,0
2022-07-28 15:40:11+00:00,"Começar a gostar de sushi foi um dos meus maiores erros, to aqui pedindo 20 reais de sushi, pra quem não sabe, sou pirangueira nível hard e o sushi ta conseguindo vencer minha pirangueragem",xrmadu,1,0
2022-07-28 15:40:48+00:00,RT @ellegourmetjp: #MCOUNTDOWN で #With_Us 韓国語ver. を披露👏 カムバした新ビジュも話題の #JO1 の #木全翔也 さんの連載「#本音で木全寿司」は読んだ？ 韓国滞在中もおいしいお寿司が食べられていますように🍣  ▼記事はこちら…,jo1_mnm,0,1474
2022-07-28 15:40:47+00:00,前に好きだった人に「首にホクロ2つもあんの？えっろ」って言われたことあるの思い出して死にたい,_sushi__oO,0,0
2022-07-28 15:40:45+00:00,RT @mxacc0: little miss sushi lover,heyitshayley__,0,2524
2022-07-28 15:40:42+00:00,"è partita music for a sushi restaurant dalla parrucchiera, harry mi devi mollare un attimo perché se no scoppio a piangere in tutti i posti in cui vado",cwtchvlou,0,0
2022-07-28 15:40:33+00:00,@foooooooo3971 はまちのお墨付き,oishi_o_sushi,0,0
2022-07-28 15:40:31+00:00,ねばしり~！！ゆきくん！,mk_SUSHI_,0,0
2022-07-28 15:40:29+00:00,@re_sushi_abyss おめでとう(*´ω`*ﾉﾉ☆ﾊﾟﾁﾊﾟﾁ,19akr79,0,0
2022-07-28 15:40:27+00:00,RT @mxacc0: little miss sushi lover,kaymcgrail,0,2524
2022-07-28 15:40:27+00:00,"RT @javafoodie_: Warung Sushi Kaki Lima di lesehan GSP!!  Mulai dr nigiri,gunkan,makimono sm specialty roll ada di sini! Kmren datang jm 6…",iaatul,0,176
2022-07-28 15:40:23+00:00,答えられなかったけど個人的に刺さった問題  ORANGE RANGE - SUSHI食べたい feat.ソイソース https://t.co/VViARHFh87 @YouTubeより,haru_quiz,0,0
2022-07-28 15:40:23+00:00,"Notable Open interest variation spotted on : $SUSHI  OI increased by 5.57% these last 5 minutes!   More than 2,167,790$ added.⬆️",OIAlertBot,0,0
2022-07-28 15:40:20+00:00,RT @i_dol_ism: ミニライブ&amp;特典会🎤✨  日付：8月11日(木) 場所：大宮アルシェ1階イベントスペース 出演：One-X/AVEST/Mikazuki/ROLESWAN/NeverSirius  観覧無料です‼️ ご来場お待ちしてます☀️  ※詳細は画像をご覧く…,mk_SUSHI_,0,11
2022-07-28 15:40:15+00:00,RT @mxacc0: little miss sushi lover,kaaaaarla0,0,2524
2022-07-28 15:40:13+00:00,@kudoyura ゆらちゃんぽい♡ ちなみに 僕の推しはゆらちゃんだけどね🫶,bigcutlet_sushi,0,0
2022-07-28 15:40:11+00:00,"Começar a gostar de sushi foi um dos meus maiores erros, to aqui pedindo 20 reais de sushi, pra quem não sabe, sou pirangueira nível hard e o sushi ta conseguindo vencer minha pirangueragem",xrmadu,1,0
2022-07-28 15:40:48+00:00,RT @ellegourmetjp: #MCOUNTDOWN で #With_Us 韓国語ver. を披露👏 カムバした新ビジュも話題の #JO1 の #木全翔也 さんの連載「#本音で木全寿司」は読んだ？ 韓国滞在中もおいしいお寿司が食べられていますように🍣  ▼記事はこちら…,jo1_mnm,0,1474
2022-07-28 15:40:47+00:00,前に好きだった人に「首にホクロ2つもあんの？えっろ」って言われたことあるの思い出して死にたい,_sushi__oO,0,0
2022-07-28 15:40:45+00:00,RT @mxacc0: little miss sushi lover,heyitshayley__,0,2524
2022-07-28 15:40:42+00:00,"è partita music for a sushi restaurant dalla parrucchiera, harry mi devi mollare un attimo perché se no scoppio a piangere in tutti i posti in cui vado",cwtchvlou,0,0
2022-07-28 15:40:33+00:00,@foooooooo3971 はまちのお墨付き,oishi_o_sushi,0,0
2022-07-28 15:40:31+00:00,ねばしり~！！ゆきくん！,mk_SUSHI_,0,0
2022-07-28 15:40:29+00:00,@re_sushi_abyss おめでとう(*´ω`*ﾉﾉ☆ﾊﾟﾁﾊﾟﾁ,19akr79,0,0
2022-07-28 15:40:27+00:00,RT @mxacc0: little miss sushi lover,kaymcgrail,0,2524
2022-07-28 15:40:27+00:00,"RT @javafoodie_: Warung Sushi Kaki Lima di lesehan GSP!!  Mulai dr nigiri,gunkan,makimono sm specialty roll ada di sini! Kmren datang jm 6…",iaatul,0,176
